label,subset,n,median_shift,mean_shift,p25,p75
true,all,18435,0.00018631371113514428,0.00016316827528143357,-0.001463475911827961,0.0018618814859633556
true,nonessential_only,733,0.00028397035997369813,0.00040079525939638015,-0.0012172265944318458,0.0017485164827345514
true,essential_only,1526,-0.0005715715409532751,-0.00037434588623426967,-0.005598824592851909,0.003747296151783125
shuffle_within,all,18435,-0.0002422973260946537,-0.00028089456833899285,-0.0020690505324308488,0.0014682485228106265
shuffle_within,nonessential_only,733,-0.0002073621157680488,-0.00033382862098757195,-0.0018425127477096556,0.0011891678025222063
shuffle_within,essential_only,1526,-0.0006485028876628274,-0.0006437801834767907,-0.005435360855867752,0.0038501264503132404
shuffle_across,all,18435,-0.0002842778440310008,-0.00034527637835004676,-0.0021176516146678565,0.00140081778283355
shuffle_across,nonessential_only,733,-0.0003294929154233975,-0.0003915973316944431,-0.0018521548077559957,0.0012218560142223528
shuffle_across,essential_only,1526,-0.0008187851139493385,-0.0004111445130046807,-0.0053249011235669275,0.0039630512758214165
